"relative_im_path","class","xmin","ymin","xmax","ymax"
car_ims/014852.jpg,181,91,52,630,1227,
car_ims/002613.jpg,32,131,457,228,613,
car_ims/002556.jpg,32,516,207,1202,1495,
car_ims/001092.jpg,14,41,16,153,249,
car_ims/012241.jpg,149,372,3847,587,3999,
car_ims/006830.jpg,84,116,50,464,682,
car_ims/001200.jpg,15,371,183,725,1103,
car_ims/000266.jpg,4,18,56,356,779,
car_ims/013357.jpg,163,714,117,1161,1494,
car_ims/000403.jpg,5,59,47,473,754,
car_ims/006365.jpg,79,191,129,492,975,
car_ims/005674.jpg,70,51,43,218,341,
car_ims/006080.jpg,75,116,52,743,1009,
car_ims/000621.jpg,8,98,43,203,321,
car_ims/014271.jpg,173,134,17,299,539,
car_ims/015675.jpg,191,312,83,634,839,
car_ims/000007.jpg,1,4,56,176,398,
