relative_im_path,class,xmin,xmax,ymin,ymax
datasets/197/58.jpg,197,147,337,726,556,
datasets/197/125.jpg,197,107,159,524,409,
datasets/197/146.jpg,197,85,69,546,215,
datasets/197/172.jpg,197,145,137,972,516,
datasets/197/133.jpg,197,761,935,4216,2922,
datasets/197/140.jpg,197,125,482,3103,1837,
datasets/197/21.jpg,197,48,87,605,315,
datasets/197/14.jpg,197,136,48,374,151,
datasets/197/117.jpg,197,299,178,1625,885,
datasets/197/122.jpg,197,118,242,1178,827,
datasets/197/79.jpg,197,180,47,735,380,
datasets/197/43.jpg,197,268,177,1195,433,
datasets/197/184.jpg,197,56,28,380,168,
datasets/197/63.jpg,197,18,186,607,405,
datasets/197/139.jpg,197,43,25,1257,909,
datasets/197/161.jpg,197,583,306,2103,964,
datasets/197/17.jpg,197,69,94,427,221,
datasets/197/188.jpg,197,1006,1884,4478,3013,
datasets/197/167.jpg,197,147,90,1467,849,
datasets/197/116.jpg,197,67,11,320,189,
datasets/197/163.jpg,197,95,300,1199,649,
datasets/197/195.jpg,197,359,465,1568,922,
datasets/197/171.jpg,197,22,37,566,258,
datasets/197/99.jpg,197,56,260,1228,637,
datasets/197/153.jpg,197,420,415,1240,961,
datasets/197/150.jpg,197,119,32,596,284,
datasets/197/44.jpg,197,74,24,417,223,
datasets/197/67.jpg,197,17,117,660,393,
datasets/197/83.jpg,197,25,115,629,358,
datasets/197/59.jpg,197,962,638,1863,1079,
datasets/197/1.jpg,197,488,410,1497,854,
datasets/197/77.jpg,197,46,95,484,298,
datasets/197/22.jpg,197,36,107,592,376,
datasets/197/35.jpg,197,827,418,3069,2300,
datasets/197/123.jpg,197,157,98,465,227,
datasets/197/170.jpg,197,153,301,1826,1051,
datasets/197/132.jpg,197,165,143,677,379,
datasets/197/41.jpg,197,19,92,218,173,
datasets/197/179.jpg,197,60,68,508,324,
datasets/197/48.jpg,197,406,287,1036,621,
datasets/197/62.jpg,197,241,606,1753,1166,
datasets/197/136.jpg,197,455,452,1551,1008,
datasets/197/192.jpg,197,402,338,1564,953,
datasets/197/193.jpg,197,187,237,789,546,
datasets/197/196.jpg,197,29,72,287,153,
datasets/197/90.jpg,197,634,290,1455,597,
datasets/197/47.jpg,197,106,186,699,402,
datasets/197/182.jpg,197,93,180,1019,601,
datasets/197/11.jpg,197,384,220,973,436,
datasets/197/34.jpg,197,403,272,1543,869,
datasets/197/190.jpg,197,846,287,1701,661,
datasets/197/92.jpg,197,328,185,895,440,
datasets/197/135.jpg,197,27,164,625,415,
datasets/197/73.jpg,197,126,28,733,289,
datasets/197/65.jpg,197,62,40,595,314,
datasets/197/4.jpg,197,130,395,1788,932,
datasets/197/50.jpg,197,134,295,1781,1029,
datasets/197/142.jpg,197,188,290,720,460,
datasets/197/57.jpg,197,105,210,1104,528,
datasets/197/113.jpg,197,73,96,890,670,
datasets/197/185.jpg,197,138,32,879,345,
datasets/197/75.jpg,197,246,440,1442,900,
datasets/197/158.jpg,197,5,59,899,561,
datasets/197/71.jpg,197,182,326,1043,578,
datasets/197/10.jpg,197,40,80,577,306,
datasets/197/98.jpg,197,124,38,991,529,
datasets/197/94.jpg,197,729,908,4648,2314,
datasets/197/129.jpg,197,109,107,472,242,
datasets/197/38.jpg,197,96,110,621,409,
datasets/197/49.jpg,197,34,133,623,427,
datasets/197/180.jpg,197,527,457,1409,874,
datasets/197/87.jpg,197,22,76,549,329,
datasets/197/151.jpg,197,477,542,1451,1112,
datasets/197/56.jpg,197,8,143,650,326,
datasets/197/175.jpg,197,730,1379,3392,2197,
datasets/197/66.jpg,197,49,71,602,376,
datasets/197/33.jpg,197,419,312,2336,861,
datasets/197/197.jpg,197,177,110,1106,624,
datasets/197/174.jpg,197,4,96,490,477,
datasets/197/200.jpg,197,263,2,1146,612,
datasets/197/12.jpg,197,431,246,1189,617,
datasets/197/97.jpg,197,35,87,604,387,
datasets/197/201.jpg,197,46,51,455,305,
datasets/197/126.jpg,197,115,125,1812,952,
datasets/197/9.jpg,197,42,49,305,166,
datasets/197/183.jpg,197,152,193,844,426,
datasets/197/8.jpg,197,334,279,1849,1093,
datasets/197/82.jpg,197,56,66,411,251,
datasets/197/137.jpg,197,134,120,1493,735,
datasets/197/45.jpg,197,61,108,551,379,
datasets/197/20.jpg,197,219,237,741,522,
datasets/197/168.jpg,197,133,72,660,311,
datasets/197/26.jpg,197,137,255,947,560,
datasets/197/109.jpg,197,42,44,614,369,
datasets/197/29.jpg,197,63,138,532,320,
datasets/197/120.jpg,197,52,246,1203,637,
datasets/197/89.jpg,197,265,395,1895,1216,
datasets/197/95.jpg,197,31,78,517,305,
datasets/197/72.jpg,197,37,66,338,231,
datasets/197/31.jpg,197,18,91,627,342,
datasets/197/159.jpg,197,41,74,311,158,
datasets/197/166.jpg,197,119,264,1202,613,
datasets/197/141.jpg,197,992,50,1126,384,
datasets/197/70.jpg,197,1378,2344,3196,3194,
datasets/197/143.jpg,197,436,308,1500,952,
datasets/197/80.jpg,197,330,333,1317,858,
datasets/198/173.jpg,198,264,273,1646,916,
datasets/198/157.jpg,198,58,113,579,399,
datasets/198/69.jpg,198,144,32,856,364,
datasets/198/165.jpg,198,81,134,587,411,
datasets/198/138.jpg,198,120,315,863,615,
datasets/198/6.jpg,198,165,167,1195,591,
datasets/198/96.jpg,198,27,186,615,438,
datasets/198/54.jpg,198,72,112,568,326,
datasets/198/149.jpg,198,245,210,763,419,
datasets/198/81.jpg,198,73,47,431,236,
datasets/198/76.jpg,198,53,77,588,381,
datasets/198/78.jpg,198,126,289,927,593,
datasets/198/178.jpg,198,72,115,951,599,
datasets/198/61.jpg,198,12,45,618,360,
datasets/198/7.jpg,198,756,348,885,460,
datasets/198/105.jpg,198,201,121,1616,605,
datasets/198/152.jpg,198,97,115,552,359,
datasets/198/154.jpg,198,67,29,376,215,
datasets/198/134.jpg,198,47,107,588,391,
datasets/198/148.jpg,198,214,207,614,406,
datasets/198/15.jpg,198,229,166,1239,637,
datasets/198/156.jpg,198,125,115,596,321,
datasets/198/93.jpg,198,174,170,863,436,
datasets/198/194.jpg,198,41,94,613,379,
datasets/198/42.jpg,198,405,56,589,164,
datasets/198/199.jpg,198,44,83,460,308,
datasets/198/88.jpg,198,297,184,672,390,
datasets/198/2.jpg,198,19,72,619,388,
datasets/198/86.jpg,198,141,92,790,530,
datasets/198/205.jpg,198,181,216,1415,997,
datasets/198/127.jpg,198,45,136,578,417,
datasets/198/121.jpg,198,273,113,767,506,
datasets/198/208.jpg,198,29,194,628,450,
datasets/198/24.jpg,198,604,139,1981,844,
datasets/198/206.jpg,198,58,320,1794,991,
datasets/198/198.jpg,198,10,33,383,223,
datasets/198/176.jpg,198,102,33,639,331,
datasets/198/103.jpg,198,100,150,944,469,
datasets/198/68.jpg,198,54,105,589,354,
datasets/198/13.jpg,198,178,383,1563,1061,
datasets/198/162.jpg,198,72,156,804,502,
datasets/198/55.jpg,198,103,281,1469,818,
datasets/198/204.jpg,198,15,163,158,245,
datasets/198/5.jpg,198,51,55,943,428,
datasets/198/130.jpg,198,104,113,587,344,
datasets/198/30.jpg,198,5,670,546,1218,
datasets/198/40.jpg,198,33,33,729,383,
datasets/198/147.jpg,198,41,142,588,451,
datasets/198/39.jpg,198,55,81,556,355,
datasets/198/124.jpg,198,76,114,327,267,
datasets/198/18.jpg,198,105,100,569,339,
datasets/198/115.jpg,198,62,60,1245,706,
datasets/198/169.jpg,198,46,167,967,646,
datasets/198/16.jpg,198,396,161,1522,723,
datasets/198/177.jpg,198,105,153,575,437,
datasets/198/3.jpg,198,40,127,567,355,
datasets/198/100.jpg,198,318,642,1445,1154,
datasets/198/144.jpg,198,239,57,802,495,
datasets/198/27.jpg,198,20,242,1512,983,
datasets/198/19.jpg,198,112,154,924,644,
datasets/198/64.jpg,198,167,158,735,381,
datasets/198/189.jpg,198,97,167,703,387,
datasets/198/37.jpg,198,64,148,964,624,
datasets/198/107.jpg,198,27,97,441,316,
datasets/198/36.jpg,198,3,136,131,189,
datasets/198/181.jpg,198,32,147,973,634,
datasets/198/131.jpg,198,260,5,931,394,
datasets/198/112.jpg,198,17,79,623,364,
datasets/198/25.jpg,198,115,181,939,629,
datasets/198/74.jpg,198,144,234,642,453,
datasets/198/91.jpg,198,56,167,461,313,
datasets/198/108.jpg,198,172,119,1114,460,
datasets/198/52.jpg,198,459,85,493,154,
datasets/198/110.jpg,198,1504,555,1914,1071,
datasets/198/145.jpg,198,9,6,533,344,
datasets/198/106.jpg,198,36,112,599,379,
datasets/198/164.jpg,198,4,225,41,245,
datasets/198/104.jpg,198,54,102,596,370,
datasets/198/28.jpg,198,32,134,1163,828,
datasets/198/101.jpg,198,675,205,770,243,
datasets/198/60.jpg,198,73,99,388,233,
datasets/198/84.jpg,198,73,149,518,354,
datasets/198/46.jpg,198,44,54,592,380,
datasets/198/191.jpg,198,72,105,603,378,
datasets/198/114.jpg,198,817,195,1010,286,
datasets/198/118.jpg,198,6,99,634,367,
datasets/198/51.jpg,198,53,151,993,662,
datasets/198/187.jpg,198,220,52,813,491,
datasets/198/111.jpg,198,68,251,954,647,
datasets/198/119.jpg,198,2,125,114,192,
datasets/198/155.jpg,198,55,93,537,326,
datasets/198/53.jpg,198,91,128,539,389,
datasets/198/102.jpg,198,41,205,995,555,
datasets/198/160.jpg,198,18,107,767,445,
datasets/198/186.jpg,198,14,95,626,371,
datasets/198/128.jpg,198,202,238,766,548,
datasets/198/23.jpg,198,48,145,978,532,
datasets/198/32.jpg,198,31,98,511,313,
datasets/198/85.jpg,198,15,112,602,410,
datasets/198/58.jpg,198,608,273,1498,852,
datasets/198/125.jpg,198,75,115,1212,642,
datasets/198/146.jpg,198,176,870,5039,2713,
datasets/198/172.jpg,198,294,69,365,299,
datasets/198/133.jpg,198,135,234,886,583,
datasets/198/140.jpg,198,179,150,617,357,
datasets/198/21.jpg,198,255,310,3011,1410,
datasets/198/14.jpg,198,152,273,863,678,
datasets/198/117.jpg,198,49,80,356,258,
datasets/198/122.jpg,198,645,377,1657,939,
datasets/198/79.jpg,198,42,93,663,377,
datasets/198/43.jpg,198,34,48,608,399,
datasets/198/184.jpg,198,63,70,741,312,
datasets/198/63.jpg,198,72,155,959,615,
datasets/198/139.jpg,198,91,110,685,322,
datasets/198/161.jpg,198,63,124,1545,1018,
datasets/198/17.jpg,198,277,221,1055,630,
datasets/198/188.jpg,198,168,152,517,363,
datasets/198/203.jpg,198,133,126,841,493,
datasets/198/167.jpg,198,195,218,1427,819,
datasets/198/116.jpg,198,61,153,987,549,
datasets/198/163.jpg,198,112,34,773,326,
datasets/198/195.jpg,198,8,44,374,239,
datasets/198/171.jpg,198,29,213,155,277,
datasets/198/99.jpg,198,156,114,1055,594,
datasets/198/153.jpg,198,56,76,451,322,
datasets/198/150.jpg,198,64,70,745,309,
datasets/198/44.jpg,198,151,458,1028,854,
datasets/198/67.jpg,198,20,96,478,322,
datasets/198/83.jpg,198,106,70,685,331,
datasets/198/59.jpg,198,72,92,397,258,
datasets/198/1.jpg,198,459,587,1802,1161,
datasets/198/77.jpg,198,42,127,1003,488,
datasets/198/22.jpg,198,92,72,553,321,
datasets/198/35.jpg,198,45,162,988,588,
datasets/198/123.jpg,198,0,12,678,360,
datasets/198/170.jpg,198,25,144,616,422,
datasets/198/132.jpg,198,1,138,216,247,
datasets/198/41.jpg,198,21,109,611,437,
datasets/198/202.jpg,198,82,148,747,423,
datasets/198/179.jpg,198,107,159,952,492,
datasets/198/48.jpg,198,142,211,883,619,
datasets/198/62.jpg,198,1120,223,1470,367,
datasets/198/136.jpg,198,90,89,553,338,
datasets/198/192.jpg,198,149,30,667,377,
datasets/198/207.jpg,198,84,153,962,501,
datasets/198/193.jpg,198,20,28,383,240,
datasets/198/196.jpg,198,86,52,462,279,
datasets/198/90.jpg,198,34,103,477,322,
datasets/198/47.jpg,198,2,190,68,223,
datasets/198/182.jpg,198,34,101,590,386,
datasets/198/11.jpg,198,61,119,561,331,
datasets/198/34.jpg,198,94,136,586,405,
datasets/198/190.jpg,198,284,167,1288,881,
datasets/198/92.jpg,198,52,96,585,394,
datasets/198/135.jpg,198,515,93,791,212,
datasets/198/73.jpg,198,14,141,627,381,
datasets/198/65.jpg,198,57,78,582,352,
datasets/198/4.jpg,198,119,132,1794,1053,
datasets/198/50.jpg,198,28,150,475,315,
datasets/198/142.jpg,198,76,72,602,379,
datasets/198/57.jpg,198,79,166,974,532,
datasets/198/113.jpg,198,160,326,1173,698,
datasets/198/185.jpg,198,67,131,561,385,
datasets/198/75.jpg,198,52,105,615,395,
datasets/198/158.jpg,198,2,67,295,177,
datasets/198/71.jpg,198,68,248,1511,908,
datasets/198/10.jpg,198,122,34,779,428,
datasets/198/98.jpg,198,32,57,610,404,
datasets/198/94.jpg,198,89,209,1737,865,
datasets/198/129.jpg,198,167,247,832,479,
datasets/198/38.jpg,198,84,115,453,338,
datasets/198/49.jpg,198,136,193,399,293,
datasets/198/180.jpg,198,120,262,4695,2473,
datasets/198/87.jpg,198,66,50,279,184,
datasets/198/151.jpg,198,9,41,384,248,
datasets/198/56.jpg,198,130,69,907,495,
datasets/198/175.jpg,198,325,132,383,171,
datasets/198/66.jpg,198,29,78,57,92,
datasets/198/33.jpg,198,93,166,560,404,
datasets/198/197.jpg,198,167,119,521,346,
datasets/198/174.jpg,198,7,149,490,351,
datasets/198/200.jpg,198,19,128,769,444,
datasets/198/12.jpg,198,225,262,1739,926,
datasets/198/97.jpg,198,143,355,1390,1156,
datasets/198/201.jpg,198,20,51,331,176,
datasets/198/126.jpg,198,116,50,1104,830,
datasets/198/9.jpg,198,135,188,1544,1015,
datasets/198/183.jpg,198,22,130,625,430,
datasets/198/8.jpg,198,265,285,2276,1051,
datasets/198/82.jpg,198,29,132,610,398,
datasets/198/137.jpg,198,102,108,385,269,
datasets/198/45.jpg,198,31,209,1162,785,
datasets/198/20.jpg,198,97,168,568,341,
datasets/198/168.jpg,198,32,43,629,351,
datasets/198/26.jpg,198,141,92,790,530,
datasets/198/109.jpg,198,0,139,629,462,
datasets/198/29.jpg,198,21,54,327,205,
datasets/198/120.jpg,198,64,72,581,332,
datasets/198/89.jpg,198,151,137,550,315,
datasets/198/95.jpg,198,284,131,1187,666,
datasets/198/72.jpg,198,26,148,749,508,
datasets/198/31.jpg,198,430,31,570,96,
datasets/198/159.jpg,198,73,294,962,652,
datasets/198/166.jpg,198,31,66,723,395,
datasets/198/141.jpg,198,418,500,1722,1129,
datasets/198/70.jpg,198,36,201,984,630,
datasets/198/143.jpg,198,257,270,1263,798,
datasets/198/80.jpg,198,33,153,604,429,
datasets/199/173.jpg,199,34,198,968,617,
datasets/199/157.jpg,199,560,350,2126,1001,
datasets/199/69.jpg,199,12,74,318,204,
datasets/199/165.jpg,199,12,89,621,365,
datasets/199/234.jpg,199,42,161,602,324,
datasets/199/138.jpg,199,39,157,597,393,
datasets/199/6.jpg,199,150,443,1456,915,
datasets/199/221.jpg,199,91,220,900,641,
datasets/199/96.jpg,199,37,59,884,497,
datasets/199/54.jpg,199,211,198,761,385,
datasets/199/149.jpg,199,58,117,543,332,
datasets/199/81.jpg,199,29,83,405,194,
datasets/199/76.jpg,199,195,190,1226,611,
datasets/199/78.jpg,199,296,175,509,257,
datasets/199/178.jpg,199,157,309,1857,932,
datasets/199/61.jpg,199,85,232,773,449,
datasets/199/236.jpg,199,143,145,524,362,
datasets/199/7.jpg,199,178,395,1476,1049,
datasets/199/105.jpg,199,364,375,1565,945,
datasets/199/152.jpg,199,71,117,758,489,
datasets/199/154.jpg,199,378,335,1485,973,
datasets/199/134.jpg,199,33,160,606,445,
datasets/199/148.jpg,199,31,125,607,383,
datasets/199/15.jpg,199,53,173,629,396,
datasets/199/156.jpg,199,47,185,896,654,
datasets/199/93.jpg,199,77,374,1538,996,
datasets/199/194.jpg,199,173,239,1712,1026,
datasets/199/42.jpg,199,66,147,567,360,
datasets/199/199.jpg,199,687,412,1681,983,
datasets/199/88.jpg,199,45,182,987,560,
datasets/199/2.jpg,199,283,336,1730,931,
datasets/199/86.jpg,199,23,163,506,362,
datasets/199/205.jpg,199,133,408,1041,764,
datasets/199/127.jpg,199,39,32,593,291,
datasets/199/121.jpg,199,210,533,1639,1051,
datasets/199/208.jpg,199,346,271,1394,804,
datasets/199/24.jpg,199,156,81,1061,418,
datasets/199/206.jpg,199,267,220,1669,981,
datasets/199/231.jpg,199,93,77,651,429,
datasets/199/198.jpg,199,319,210,1211,823,
datasets/199/214.jpg,199,60,59,973,577,
datasets/199/209.jpg,199,632,1370,4890,3116,
datasets/199/176.jpg,199,78,129,637,364,
datasets/199/103.jpg,199,104,131,1179,807,
datasets/199/68.jpg,199,35,259,700,651,
datasets/199/13.jpg,199,113,126,1822,938,
datasets/199/162.jpg,199,69,131,443,317,
datasets/199/217.jpg,199,37,293,940,613,
datasets/199/55.jpg,199,116,139,605,367,
datasets/199/204.jpg,199,189,134,270,193,
datasets/199/5.jpg,199,91,249,973,627,
datasets/199/130.jpg,199,414,472,1158,829,
datasets/199/30.jpg,199,457,391,1413,878,
datasets/199/40.jpg,199,120,81,641,346,
datasets/199/147.jpg,199,46,85,600,349,
datasets/199/39.jpg,199,265,179,704,396,
datasets/199/124.jpg,199,164,151,829,510,
datasets/199/216.jpg,199,80,30,963,538,
datasets/199/18.jpg,199,117,221,870,483,
datasets/199/115.jpg,199,139,62,1122,554,
datasets/199/169.jpg,199,122,351,849,635,
datasets/199/16.jpg,199,158,165,1762,1183,
datasets/199/177.jpg,199,21,295,1593,868,
datasets/199/3.jpg,199,33,217,1173,601,
datasets/199/100.jpg,199,485,258,973,587,
datasets/199/144.jpg,199,68,84,548,289,
datasets/199/230.jpg,199,344,289,906,537,
datasets/199/27.jpg,199,460,502,1798,967,
datasets/199/19.jpg,199,97,133,596,324,
datasets/199/64.jpg,199,193,304,1312,830,
datasets/199/189.jpg,199,271,193,772,364,
datasets/199/224.jpg,199,23,51,349,223,
datasets/199/37.jpg,199,78,131,1549,736,
datasets/199/107.jpg,199,404,312,1233,875,
datasets/199/36.jpg,199,219,473,1696,971,
datasets/199/181.jpg,199,48,30,352,189,
datasets/199/131.jpg,199,33,206,982,581,
datasets/199/112.jpg,199,39,42,994,602,
datasets/199/25.jpg,199,39,82,239,153,
datasets/199/74.jpg,199,408,516,1662,912,
datasets/199/91.jpg,199,62,162,950,555,
datasets/199/108.jpg,199,47,34,309,167,
datasets/199/52.jpg,199,401,476,2146,1377,
datasets/199/110.jpg,199,29,119,595,404,
datasets/199/145.jpg,199,161,350,1588,886,
datasets/199/106.jpg,199,31,87,614,431,
datasets/199/164.jpg,199,65,81,580,405,
datasets/199/104.jpg,199,265,361,1043,616,
datasets/199/28.jpg,199,492,499,1693,980,
datasets/199/101.jpg,199,86,399,1046,771,
datasets/199/60.jpg,199,37,123,597,360,
datasets/199/84.jpg,199,16,101,348,273,
datasets/199/46.jpg,199,157,458,1106,751,
datasets/199/220.jpg,199,25,151,1015,581,
datasets/199/235.jpg,199,204,210,1079,609,
datasets/199/191.jpg,199,335,219,897,447,
datasets/199/114.jpg,199,399,468,1460,963,
datasets/199/118.jpg,199,119,102,1160,844,
datasets/199/51.jpg,199,66,125,365,268,
datasets/199/187.jpg,199,525,98,646,209,
datasets/199/111.jpg,199,16,105,589,331,
datasets/199/119.jpg,199,23,123,611,388,
datasets/199/155.jpg,199,21,159,496,359,
datasets/199/53.jpg,199,182,39,1373,789,
datasets/199/102.jpg,199,260,226,822,464,
datasets/199/160.jpg,199,436,684,2040,1203,
datasets/199/186.jpg,199,45,85,601,422,
datasets/199/128.jpg,199,157,111,853,515,
datasets/199/23.jpg,199,9,300,938,582,
datasets/199/32.jpg,199,211,140,583,289,
datasets/199/85.jpg,199,68,95,526,319,
datasets/199/58.jpg,199,56,189,960,662,
datasets/199/125.jpg,199,20,55,634,340,
datasets/199/146.jpg,199,768,1243,3380,2335,
datasets/199/172.jpg,199,1864,1359,3988,2672,
datasets/199/133.jpg,199,11,109,583,342,
datasets/199/140.jpg,199,112,73,1095,538,
datasets/199/21.jpg,199,59,99,1802,1017,
datasets/199/14.jpg,199,81,208,1116,683,
datasets/199/117.jpg,199,188,341,599,503,
datasets/199/122.jpg,199,33,128,608,400,
datasets/199/79.jpg,199,112,115,621,380,
datasets/199/43.jpg,199,58,84,430,211,
datasets/199/184.jpg,199,66,125,669,395,
datasets/199/63.jpg,199,54,96,530,320,
datasets/199/139.jpg,199,294,444,1381,1060,
datasets/199/226.jpg,199,55,200,680,384,
datasets/199/161.jpg,199,64,76,580,367,
datasets/199/17.jpg,199,204,170,1207,749,
datasets/199/188.jpg,199,41,143,615,388,
datasets/199/203.jpg,199,18,6,566,391,
datasets/199/167.jpg,199,61,62,955,594,
datasets/199/116.jpg,199,118,124,878,522,
datasets/199/163.jpg,199,132,187,739,445,
datasets/199/195.jpg,199,20,114,1524,1030,
datasets/199/171.jpg,199,68,81,982,585,
datasets/199/99.jpg,199,129,205,934,558,
datasets/199/153.jpg,199,248,154,1730,1054,
datasets/199/150.jpg,199,201,200,1592,985,
datasets/199/44.jpg,199,518,606,1833,1070,
datasets/199/213.jpg,199,27,55,1385,749,
datasets/199/223.jpg,199,66,134,714,427,
datasets/199/67.jpg,199,48,68,125,295,
datasets/199/83.jpg,199,20,68,401,229,
datasets/199/59.jpg,199,54,54,265,156,
datasets/199/1.jpg,199,282,89,736,428,
datasets/199/77.jpg,199,180,246,831,555,
datasets/199/22.jpg,199,392,130,910,490,
datasets/199/232.jpg,199,138,284,1371,833,
datasets/199/35.jpg,199,106,226,976,623,
datasets/199/123.jpg,199,66,124,995,576,
datasets/199/170.jpg,199,23,85,378,242,
datasets/199/132.jpg,199,83,83,563,425,
datasets/199/41.jpg,199,73,105,324,178,
datasets/199/202.jpg,199,110,124,809,482,
datasets/199/212.jpg,199,204,356,795,593,
datasets/199/179.jpg,199,65,117,576,363,
datasets/199/48.jpg,199,225,290,1395,831,
datasets/199/62.jpg,199,53,82,596,409,
datasets/199/136.jpg,199,169,245,1698,1002,
datasets/199/229.jpg,199,32,75,449,298,
datasets/199/192.jpg,199,47,80,267,203,
datasets/199/207.jpg,199,178,217,701,391,
datasets/199/193.jpg,199,34,281,1075,645,
datasets/199/196.jpg,199,72,111,475,337,
datasets/199/90.jpg,199,2,290,235,472,
datasets/199/227.jpg,199,11,68,708,453,
datasets/199/47.jpg,199,53,123,751,436,
datasets/199/182.jpg,199,140,380,1554,947,
datasets/199/11.jpg,199,371,233,1390,718,
datasets/199/34.jpg,199,53,105,799,354,
datasets/199/190.jpg,199,112,260,875,503,
datasets/199/228.jpg,199,17,17,638,303,
datasets/199/92.jpg,199,82,171,537,356,
datasets/199/135.jpg,199,20,29,621,385,
datasets/199/73.jpg,199,81,168,1127,560,
datasets/199/65.jpg,199,33,105,544,362,
datasets/199/4.jpg,199,302,382,1675,1066,
datasets/199/50.jpg,199,14,98,666,486,
datasets/199/142.jpg,199,249,61,333,114,
datasets/199/57.jpg,199,141,188,893,479,
datasets/199/113.jpg,199,232,462,1397,945,
datasets/199/185.jpg,199,29,41,317,171,
datasets/199/75.jpg,199,230,240,1777,949,
datasets/199/219.jpg,199,137,103,644,306,
