relative_im_path,class,,,,,
datasets/225/151.jpg,29,86,32,335,599,0
datasets/225/152.jpg,29,71,16,254,240,0
datasets/225/153.jpg,29,142,13,261,188,0
datasets/225/15.jpg,29,142,50,327,277,0
datasets/225/16.jpg,29,203,29,436,451,0
datasets/225/17.jpg,29,820,377,1181,897,0
datasets/225/18.jpg,29,167,36,921,671,0
datasets/225/19.jpg,29,1595,454,2757,1898,0
datasets/225/1.jpg,29,145,106,241,645,0
datasets/225/20.jpg,29,6,47,650,493,0
datasets/225/21.jpg,29,474,180,1027,810,0
datasets/225/22.jpg,29,410,52,811,461,0
datasets/225/23.jpg,29,77,172,1097,607,0
datasets/225/24.jpg,29,174,31,485,452,0
datasets/225/25.jpg,29,126,83,518,298,0
datasets/225/26.jpg,29,288,204,648,415,0
datasets/225/27.jpg,29,252,34,1071,639,0
datasets/225/28.jpg,29,210,47,585,559,0
datasets/225/29.jpg,29,132,45,664,391,0
datasets/225/2.jpg,29,506,302,1676,852,0
datasets/225/30.jpg,29,190,159,1214,640,0
datasets/225/31.jpg,29,354,119,609,308,0
datasets/225/32.jpg,29,627,347,1552,826,0
datasets/225/33.jpg,29,291,115,556,478,0
datasets/225/34.jpg,29,169,10,905,756,0
datasets/225/35.jpg,29,1491,372,3603,786,0
datasets/225/36.jpg,29,129,24,527,460,0
datasets/225/37.jpg,29,646,167,1286,945,0
datasets/225/38.jpg,29,206,33,825,516,0
datasets/225/39.jpg,29,546,86,1071,844,0
datasets/225/3.jpg,29,188,39,962,671,0
datasets/225/40.jpg,29,2891,389,3995,1626,0
datasets/225/41.jpg,29,92,56,650,331,0
datasets/225/42.jpg,29,1880,259,3376,592,0
datasets/225/43.jpg,29,215,165,571,376,0
datasets/225/44.jpg,29,686,307,961,778,0
datasets/225/45.jpg,29,170,141,1445,1062,0
datasets/225/46.jpg,29,125,44,271,200,0
datasets/225/47.jpg,29,131,81,459,322,0
datasets/225/48.jpg,29,217,39,1076,474,0
datasets/225/49.jpg,29,164,63,350,274,0
datasets/225/4.jpg,29,80,79,1049,731,0
datasets/225/50.jpg,29,117,32,514,452,0
datasets/225/51.jpg,29,24,10,650,651,0
datasets/225/52.jpg,29,754,97,1164,146,0
datasets/225/53.jpg,29,1525,504,1762,1014,0
datasets/225/54.jpg,29,171,30,484,455,1
datasets/225/55.jpg,29,14,136,641,452,1
datasets/225/56.jpg,29,418,348,800,589,1
datasets/225/57.jpg,29,463,111,960,610,1
datasets/225/58.jpg,29,105,55,611,514,1
datasets/225/59.jpg,29,315,112,501,338,1
datasets/225/5.jpg,29,301,71,622,377,1
datasets/225/60.jpg,29,635,87,1232,928,1
datasets/225/61.jpg,29,107,102,815,411,1
datasets/225/62.jpg,29,605,207,1405,835,1
datasets/225/63.jpg,29,143,42,577,351,1
datasets/225/64.jpg,29,343,4,609,478,1
datasets/225/65.jpg,29,241,85,622,373,1
datasets/225/66.jpg,29,356,104,553,290,1
datasets/225/67.jpg,29,375,198,898,317,1
datasets/225/68.jpg,29,2174,684,3754,2400,1
datasets/225/69.jpg,29,808,384,1152,886,1
datasets/225/6.jpg,29,305,39,1140,685,1
datasets/225/70.jpg,29,107,70,405,210,1
datasets/225/71.jpg,29,164,81,1113,482,1
datasets/225/72.jpg,29,210,65,784,596,1
datasets/225/73.jpg,29,136,13,457,442,1
datasets/225/74.jpg,29,69,20,1098,378,1
datasets/225/75.jpg,29,128,11,469,467,1
datasets/225/76.jpg,29,206,45,545,332,1
datasets/225/77.jpg,29,157,103,1047,309,1
datasets/225/78.jpg,29,80,79,1039,604,1
datasets/225/79.jpg,29,99,7,653,387,1
datasets/225/7.jpg,29,504,94,1481,893,1
datasets/225/80.jpg,29,312,137,1007,712,1
datasets/225/81.jpg,29,117,14,498,467,1
datasets/225/82.jpg,29,432,312,947,658,1
datasets/225/83.jpg,29,701,107,1560,989,1
datasets/225/84.jpg,29,43,31,625,380,1
datasets/225/85.jpg,29,322,293,1480,1113,1
datasets/225/86.jpg,29,430,67,1060,560,1
datasets/225/87.jpg,29,639,302,1039,680,1
datasets/225/88.jpg,29,407,69,1193,1131,1
datasets/225/89.jpg,29,201,156,1350,1026,1
datasets/225/8.jpg,29,376,93,779,430,1
datasets/225/90.jpg,29,146,32,775,755,1
datasets/225/91.jpg,29,49,34,563,458,1
datasets/225/92.jpg,29,357,57,1739,1349,1
datasets/225/93.jpg,29,92,90,815,497,1
datasets/225/94.jpg,29,114,31,319,191,1
datasets/225/95.jpg,29,241,111,540,355,1
datasets/225/96.jpg,29,337,162,654,361,1
datasets/225/97.jpg,29,198,68,374,214,1
datasets/225/98.jpg,29,161,23,377,205,1
datasets/225/99.jpg,29,77,14,718,400,1
datasets/225/9.jpg,29,115,23,244,169,1
datasets/225/233.jpg,29,178,39,868,656,
datasets/225/165.jpg,29,386,51,1284,1185,
datasets/225/170.jpg,29,720,453,1150,794,
datasets/225/263.jpg,29,86,51,879,651,
datasets/225/229.jpg,29,249,28,542,462,
datasets/225/315.jpg,29,951,322,1485,624,
datasets/225/213.jpg,29,136,24,496,439,
datasets/225/201.jpg,29,180,50,855,654,
datasets/225/236.jpg,29,201,28,500,407,
datasets/225/200.jpg,29,263,8,919,665,
datasets/225/198.jpg,29,180,43,710,735,
datasets/225/211.jpg,29,246,41,865,674,
datasets/225/320.jpg,29,66,45,583,432,
datasets/225/338.jpg,29,139,35,548,374,
datasets/225/283.jpg,29,189,29,385,271,
datasets/225/242.jpg,29,204,80,595,501,
datasets/225/217.jpg,29,495,294,1134,737,
datasets/225/176.jpg,29,221,68,1666,852,
datasets/225/216.jpg,29,639,172,2006,1422,
datasets/225/239.jpg,29,199,31,834,691,
datasets/225/307.jpg,29,165,99,405,281,
datasets/225/215.jpg,29,137,19,829,749,
datasets/225/308.jpg,29,109,198,1619,892,
datasets/225/273.jpg,29,433,80,1190,1070,
datasets/225/300.jpg,29,116,8,362,338,
datasets/225/219.jpg,29,159,21,354,292,
datasets/225/328.jpg,29,385,126,2975,1668,
datasets/225/174.jpg,29,297,38,704,737,
datasets/225/330.jpg,29,249,138,1299,860,
datasets/225/246.jpg,29,124,41,506,438,
datasets/225/256.jpg,29,143,6,425,477,
datasets/225/184.jpg,29,356,104,553,289,
datasets/225/244.jpg,29,214,7,515,472,
datasets/225/193.jpg,29,288,56,690,395,
datasets/225/258.jpg,29,53,12,558,485,
datasets/225/177.jpg,29,942,110,1953,1014,
datasets/225/212.jpg,29,305,109,678,488,
datasets/225/301.jpg,29,532,122,1490,1036,
datasets/225/208.jpg,29,77,14,718,400,
datasets/225/192.jpg,29,93,42,552,401,
datasets/225/168.jpg,29,174,61,831,706,
datasets/225/240.jpg,29,382,60,935,743,
datasets/225/278.jpg,29,174,141,269,280,
datasets/225/311.jpg,29,129,75,623,345,
datasets/225/261.jpg,29,40,518,143,646,
datasets/225/207.jpg,29,87,35,692,750,
datasets/225/111.jpg,29,310,115,796,653,
datasets/225/255.jpg,29,100,22,492,465,
datasets/225/155.jpg,29,622,248,1456,1007,
datasets/225/163.jpg,29,260,38,779,691,
datasets/225/294.jpg,29,309,121,1555,830,
datasets/225/218.jpg,29,504,252,982,631,
datasets/225/282.jpg,29,156,43,335,293,
datasets/225/331.jpg,29,42,37,321,163,
datasets/225/171.jpg,29,256,72,537,373,
datasets/225/292.jpg,29,75,18,491,476,
datasets/225/313.jpg,29,211,16,493,486,
datasets/225/181.jpg,29,304,19,774,757,
datasets/225/305.jpg,29,117,84,825,452,
datasets/225/316.jpg,29,1248,351,1640,762,
datasets/225/323.jpg,29,215,35,504,397,
datasets/225/269.jpg,29,354,155,712,473,
datasets/225/182.jpg,29,118,28,872,655,
datasets/225/221.jpg,29,340,50,1176,1145,
datasets/225/279.jpg,29,5,52,890,635,
datasets/225/295.jpg,29,296,93,510,327,
datasets/225/327.jpg,29,86,51,720,431,
datasets/225/156.jpg,29,160,61,817,642,
datasets/225/290.jpg,29,195,26,468,402,
datasets/225/259.jpg,29,186,124,553,372,
